fieldId,fov,ra,dec,gl,gb,el,eb
150,3.5,81.777206,-70.757749,-78.429558,-32.412744,-58.219386,-84.855275
151,3.5,225.777207,-70.757739,-46.569163,-10.619875,-111.143193,-50.559718
152,3.5,134.222793,-70.757739,-74.102369,-16.132168,-145.282079,-73.775227
153,3.5,350.222739,-70.757693,-46.819606,-44.525129,-52.667645,-57.561522
154,3.5,9.777261,-70.757693,-55.597403,-46.335337,-44.880024,-62.684201
155,3.5,206.222796,-70.75769,-52.652758,-8.345565,-120.073491,-53.930775
156,3.5,153.777204,-70.75769,-69.318178,-11.702596,-140.636467,-67.541048
157,3.5,196.783182,-70.227801,-55.730553,-7.396822,-124.850042,-55.542185
158,3.5,163.216818,-70.227801,-66.83881,-9.6388,-138.614414,-64.455403
159,3.5,235.216697,-70.227781,-43.597596,-11.924666,-106.981801,-48.840673
160,3.5,124.783303,-70.227781,-76.38825,-18.462923,-148.184358,-76.883372
161,3.5,340.78326,-70.227766,-42.807772,-43.173346,-56.092863,-54.995516
162,3.5,19.21674,-70.227766,-60.201589,-46.745466,-40.362649,-65.187265
163,3.5,307.216775,-70.227754,-35.355347,-33.591563,-71.708663,-49.133886
164,3.5,52.783225,-70.227754,-73.864584,-41.299053,-31.79045,-76.060559
165,3.5,268.783304,-70.227751,-36.512795,-20.847271,-90.5324,-46.791648
166,3.5,91.216696,-70.227751,-79.404421,-29.331334,-96.332611,-86.30653
167,3.5,244.024153,-69.345061,-40.66919,-13.285955,-103.04601,-47.086162
168,3.5,115.975847,-69.345061,-78.631816,-20.819994,-152.188533,-79.946788
169,3.5,331.975936,-69.345037,-39.082585,-41.607257,-59.223146,-52.428125
170,3.5,28.024064,-69.345037,-64.823487,-46.859246,-35.19106,-67.583215
171,3.5,259.975855,-69.345028,-37.118646,-17.733936,-95.009758,-46.083037
172,3.5,100.024145,-69.345028,-80.196885,-26.244516,-138.860709,-85.328626
173,3.5,316.024109,-69.344995,-35.441778,-36.756146,-66.893284,-49.560178
174,3.5,43.975891,-69.344995,-71.76329,-44.062217,-30.087613,-72.927762
175,3.5,187.975897,-69.344983,-58.800164,-6.538956,-129.877642,-57.039232
176,3.5,172.024103,-69.344983,-64.34086,-7.658503,-136.796571,-61.399727
177,3.5,283.635763,-68.470535,-33.105519,-25.378384,-82.857878,-45.366433
178,3.5,76.364237,-68.470535,-80.626801,-34.741623,-26.256141,-84.460832
179,3.5,220.364364,-68.470532,-47.220157,-7.728421,-115.36132,-49.370347
180,3.5,139.635636,-68.470532,-74.642315,-13.216577,-151.410251,-71.443668
181,3.5,211.635681,-68.470513,-50.238948,-6.600309,-119.683552,-50.978323
182,3.5,148.364319,-68.470513,-72.258727,-11.022634,-148.173058,-68.440685
183,3.5,292.364331,-68.470511,-32.73177,-28.561539,-78.350229,-45.929083
184,3.5,67.635669,-68.470511,-79.356563,-37.773932,-22.71153,-81.289134
185,3.5,355.635602,-68.470509,-47.829394,-47.402823,-47.166196,-57.390566
186,3.5,4.364398,-68.470509,-52.389264,-48.347877,-43.195564,-59.834842
187,3.5,203.027338,-68.15504,-53.2838,-5.582629,-124.192042,-52.533562
188,3.5,156.972662,-68.15504,-69.823163,-8.913455,-145.396677,-65.436637
189,3.5,275.02746,-68.155026,-33.603168,-22.216928,-87.299069,-44.762312
190,3.5,84.97254,-68.155026,-81.653408,-31.665166,-41.700901,-87.494136
191,3.5,228.972762,-68.155006,-44.240623,-8.958049,-111.222611,-47.727068
192,3.5,131.027238,-68.155006,-76.967989,-15.480768,-155.364007,-74.421277
193,3.5,347.027277,-68.154999,-43.529823,-46.16287,-50.81015,-54.922875
194,3.5,12.972723,-68.154999,-57.132275,-48.973196,-38.829815,-62.230722
195,3.5,300.972656,-68.154988,-32.492668,-31.748923,-73.796249,-46.444004
196,3.5,59.027344,-68.154988,-77.81559,-40.736928,-21.704808,-78.100016
197,3.5,180.0,-68.124507,-61.848699,-5.731484,-135.198934,-58.366883
198,3.5,252.000182,-68.124456,-37.76259,-14.658757,-99.347737,-45.273356
199,3.5,107.999818,-68.124456,-80.874477,-23.168766,-159.012709,-82.919753
200,3.5,323.999987,-68.124446,-35.617029,-39.889915,-62.062495,-49.845683
201,3.5,36.000013,-68.124446,-69.401613,-46.725144,-29.091722,-69.80705
202,3.5,194.769175,-67.520391,-56.335596,-4.659507,-128.906525,-53.998459
203,3.5,165.230825,-67.520391,-67.356314,-6.883326,-142.979923,-62.442056
204,3.5,237.230875,-67.520319,-41.300989,-10.258395,-107.278546,-46.045142
205,3.5,122.769125,-67.520319,-79.24989,-17.785458,-160.608925,-77.331831
206,3.5,266.769183,-67.520318,-34.191184,-19.088203,-91.650855,-44.100961
207,3.5,93.230817,-67.520318,-82.487528,-28.571422,-141.18194,-88.416737
208,3.5,309.230933,-67.520314,-32.371838,-34.924038,-69.21113,-46.883299
209,3.5,50.769067,-67.520314,-76.002885,-43.615868,-21.54426,-74.923515
210,3.5,338.769179,-67.520312,-39.526177,-44.680333,-54.153862,-52.438172
211,3.5,21.230821,-67.520312,-61.963951,-49.288408,-33.943215,-64.534767
212,3.5,331.051755,-66.571393,-35.814685,-43.012396,-57.211518,-49.933276
213,3.5,28.948245,-66.571393,-66.800781,-49.322978,-28.366932,-66.692562
214,3.5,316.948309,-66.571381,-32.340114,-38.077297,-64.607882,-47.212638
215,3.5,43.051691,-66.571381,-73.925318,-46.406607,-21.685475,-71.77041
216,3.5,244.948276,-66.571366,-38.391235,-11.593221,-103.540077,-44.312315
217,3.5,115.051724,-66.571366,-81.514578,-20.099839,-168.353077,-80.104184
218,3.5,172.948319,-66.571362,-64.879311,-4.915071,-140.874409,-59.458516
219,3.5,187.051824,-66.571355,-59.379009,-3.803897,-133.851562,-55.328734
220,3.5,259.051807,-66.571354,-34.832099,-15.994593,-95.892855,-43.359135
221,3.5,100.948193,-66.571354,-83.18477,-25.479795,-174.77511,-85.651666
222,3.5,0.0,-66.070019,-48.953736,-50.240065,-41.802584,-56.994758
223,3.5,215.999904,-66.070011,-47.862363,-4.866561,-119.333787,-48.055018
224,3.5,144.000096,-66.070011,-75.157589,-10.328114,-156.116955,-68.980065
225,3.5,288.000051,-66.069988,-30.185733,-26.688095,-80.022135,-43.249384
226,3.5,71.999949,-66.069988,-82.919979,-37.010141,-4.328515,-82.777959
227,3.5,208.174163,-65.928135,-50.869957,-3.79629,-123.595143,-49.560756
228,3.5,151.825837,-65.928135,-72.764272,-8.192626,-152.517831,-66.106564
229,3.5,64.174244,-65.928129,-81.639517,-40.03276,-8.35849,-79.651882
230,3.5,295.825883,-65.928107,-29.790803,-29.853306,-75.688549,-43.761568
231,3.5,223.825859,-65.928099,-44.884904,-6.030521,-115.238733,-46.497915
232,3.5,136.174141,-65.928099,-77.504662,-12.529957,-160.460846,-71.813324
233,3.5,352.174201,-65.92809,-44.353949,-49.107412,-45.634713,-54.647239
234,3.5,7.825799,-65.92809,-53.802929,-51.072322,-37.623073,-59.292729
235,3.5,280.174192,-65.928086,-30.682823,-23.535785,-84.306215,-42.687983
236,3.5,79.825808,-65.928086,-83.97015,-33.942792,4.171228,-85.857631
237,3.5,272.520358,-65.499818,-31.264887,-20.40707,-88.523535,-42.07349
238,3.5,87.479642,-65.499818,-84.82674,-30.851305,44.944864,-88.525312
239,3.5,231.479626,-65.499803,-41.942652,-7.271337,-111.313404,-44.895794
